amortizábel,  , a ,amortizable ,
amortizable,  , a ,amortizábel ,
amosegadura,  , f ,amozcadura anozcoada ,
amosegar,  , t ,amordicar amozcar anozcar ataniscar ,
amovíbel,  , a ,amovible ,
amovible,  , a ,amovíbel ,
amozcadura,  , f ,amosegadura anozcoada ,
amozcar,  , t ,amordicar amosegar anozcar ataniscar ,
ampear,  , i ,calmear ,
amperio,  , m ,ampere=> ,
ampliábel,  , a ,ampliable ,
ampliable,  , a ,ampliábel ,
ampurdanés, ampurdanesa , a s ,empordanés> ,Empordán
analizábel,  , a ,analizable ,
analizable,  , a ,analizábel ,
andábel,  , a ,andable ,
andable,  , a ,andábel ,
andamio,  , m ,estada1> ,
andarica,  , f ,nécora ,
andén,  , m ,plataforma> ,
aneboar,  , i ,anebrar ,
anebrar,  , i ,aneboar ,
anémona,  , f ,anemone ,
anesgar,  , t pr ,anicar ,
anexo2, anexa , a ,anello> ,cast 'añejo'
anicar,  , t pr ,anesgar ,
anicrar,  , t pr ,anicar> ,
aniñadoiro,  , m ,aniñador endego éndez inzo ,
aniñador,  , m ,aniñadoiro endego éndez inzo ,
año,  , m ,cordeiro1 ,
anodino, anodina , a ,anódino> ,
anozcar,  , t ,amordiscar amosegar amozcar ataniscar ,
anozcoada,  , f ,amosegadura amozcadura ,
anque,  , c ,aínda que ,
antena2,  , f ,entena ,favo
antepoñer,  , t pr ,antepor ,
antepor,  , t pr ,antepoñer ,
antergo, anterga , a ,entrego=> ,
antevéspera,  , f ,revéspera ,
antidóping,  , m ,antidopaxe> ,
antifaz,  , m ,anteface> ,
antinéboa,  , m ,antinebra ,
antinebra,  , m ,antinéboa ,
antoxar,  , pr ,antollar> ,
anubrar,  , t i pr ,nubrar ,
anulábel,  , a ,anulable ,
anulable,  , a ,anulábel ,
anzol,  , m ,amocelo ,
ao,  , cont ,ó ,
apacentar,  , t ,alindar ,
apagábel,  , a ,apagable ,
apagable,  , a ,apagábel ,
apago,  , m ,alustro lóstrego lustro2 relustro ,
apalleirar,  , t ,empalleirar ,
apalpar,  , t ,palpar ,
apanar,  , t pr ,atrapazar empanar2 ,
apanda,  , f ,panda2 ,
apandar,  , i ,pandar ,
aparcelamento,  , m ,parcelamento> ,
aparcelar,  , t ,parcelar> ,
aparruñar,  , i ,esparruñar ,
aparte2,  , av ,"parte, á> ",
apazugar,  , i ,acougar ,
apeadoiro,  , m ,pexadoiro ,
apear2,  , m ,pioga ,do xugo
apegadizo, apegadiza , a ,pegadizo ,
apegañar,  , pr ,pegañar ,
apegañento, apegañenta , a ,pegañento ,
apegañoso, apegañosa , a ,pegañoso ,
apelábel,  , a ,apelable ,
apelable,  , a ,apelábel ,
apetecíbel,  , a ,apetecible ,
apetecible,  , a ,apetecíbel ,
apigarado, apigarada , a ,pegarado pincharado ,
aplacábel,  , a ,aplacable ,
aplacable,  , a ,aplacábel ,
aplicábel,  , a ,aplicable ,
aplicable,  , a ,aplicábel ,
apoñer,  , t ,apor ,
